,human_recommendation,gpt_recommendation
9378,weak accept,accept
9378,accpet ,accept
9378,accpet ,accept
9378,weak accept,accept
7169,accpet ,accept
7169,accpet ,accept
7169,accpet ,accept
6510,weak accept,accept
6510,accpet ,accept
6510,weak accept,accept
5769,borderline accept,accept
5769,accpet ,accept
5769,borderline accept,accept
5769,borderline accept,accept
10162,accpet ,accept
10162,accpet ,accept
10162,weak accept,accept
10438,borderline accept,accept
10438,borderline accept,accept
10438,accpet ,accept
3025,weak accept,accept
3025,borderline accept,accept
3025,borderline accept,accept
11146,reject,accept
11146,borderline accept,accept
11146,reject,accept
11146,reject,accept
8594,strong accept,accept
8594,accpet ,accept
8594,strong accept,accept
6640,weak accept,accept
6640,weak accept,accept
6640,borderline reject,accept
6640,borderline accept,accept